,tcre,zec50,zec100,zec200,tr1000,tr0,tpw
1134465,1.462671007199843,0.022054859529108573,0.05619557220205662,0.07316934150705401,0.06029288229412688,-0.0036177920537558833,3
1138508,1.6107136814814116,-0.07095611762059018,-0.17140969947372953,-0.3544182080457763,-0.18494771229522766,-0.37244906203921313,-7
1140581,1.3334035385205,0.03406848127816997,0.034524526825810975,0.06237971344425719,0.05276012579331568,-0.06605425092834635,4
1141439,1.5469988476063825,-0.0799328366891181,-0.11901254131123218,-0.17228441201423816,-0.13364104760044904,-0.21625305253535057,-5
1142599,1.8582828745257844,0.049116404757142185,-0.00017299221835620493,-0.15530618027306464,0.047247202298981605,-0.34110409085201876,2
1142797,1.1586726517295374,-0.06348444423334576,-0.09484209616351924,-0.14971693400472597,-0.12649623389659936,-0.19899033070035302,-7
1143373,1.314657681538443,-0.10140872570057824,-0.14307067208864588,-0.1976002800460992,-0.19395388942086544,-0.24845666602746289,-8
1145608,1.5834259840218246,0.07289448200706716,0.08776943642331769,0.022982308507963678,0.11929910731261018,-0.12131433599879968,5
1146366,2.090873420270618,0.06545982576433929,0.07020655619550009,0.1142891074316097,0.14301420396369746,0.042477684068566335,5
1147807,2.252095281115689,0.41392742293120044,0.6749337911073425,0.9010650476979478,0.8334658088843341,0.6271536477465037,22
1149822,1.285402237297657,-0.12376482449059178,-0.1867074239925497,-0.25771634678433086,-0.2512995383844787,-0.3327488017072169,-9
1150114,1.9563536388464695,0.054813425752270106,0.06106629267819219,0.12030835250459893,0.11051589238593662,-0.09705750035772918,4
1152331,1.7566144257697394,0.09936905748548175,0.10466308629984722,0.061565411983415474,0.17354652012795269,-0.08118765471455933,7
1154230,1.2532453327333772,-0.0030605608961675745,-0.03264797132494657,-0.10069888058962984,-0.024466067089119692,-0.16428837812360048,-1
1155474,1.3624865252050398,0.016043021062163154,0.04253489616283912,0.034292064932877286,0.034604315131280705,-0.07205659843250985,2
1157236,1.9551524799959674,0.03973726949064482,0.061481614092765646,0.11104988617854783,0.07952486318497654,-0.011035952949728117,4
1159208,1.6202361439953827,0.022846958377824356,0.06203871483861989,0.12548226585488664,0.0809505036881697,0.08109518861259171,3
1160557,1.4843871880512902,-0.16321213969775616,-0.24349066701859123,-0.3458775963369314,-0.31980162007775914,-0.37269315320173546,-12
1162975,1.130714224817704,-0.026254425935728243,-0.02716424774461479,-0.04582224808452029,-0.05243363017706204,-0.12468147488629014,-2
1165136,1.8478660944830931,-0.05906751689064693,-0.09312365759075525,-0.11369881984415775,-0.09913772303806634,-0.1855268199749743,-3
1165157,1.3243741976253105,-0.07044580065838923,-0.10445635827485678,-0.14083299347717415,-0.14533078052184312,-0.18670981760834893,-5
1166420,1.5503839877494388,-0.117912269868923,-0.17213081235541416,-0.2202286434592604,-0.23222173158173476,-0.3008519704378545,-7
1166482,1.6352176974404427,-0.07846760332086511,-0.09096226893337511,-0.09692553461370368,-0.12418133775636253,-0.16213767854906208,-5
